0.03, 0, 0, 0, 0, 0, 0
0.06, -3, 0, -3, 1, -2, 0
0.09, -4, 1, -4, 0, -3, 0
0.12, -4, 1, -4, 0, -3, 0
0.15, -4, 2, -3, -1, -2, 0
0.18, -5, 1, -3, -3, -1, -1
0.21, -4, -7, -1, -11, 2, -10
0.24, -2, -19, 2, -24, 6, -23
0.27, -1, -29, 2, -33, 10, -32
0.3, 1, -45, 5, -49, 15, -48
0.33, 0, -18, 4, -23, 12, -21
0.36, -3, -1, 1, -8, 5, -3
0.39, -4, 2, 1, -5, 3, 1
0.42, -4, 1, 1, -3, 2, 1
0.45, -4, -1, 2, -3, 1, 2
0.48, -3, -2, 2, -2, 0, 2
0.51, -2, -2, 2, 0, -1, 2
0.54, -1, -4, 3, 1, -2, 2
0.57, 0, -5, 2, 2, -3, 2
0.6, 1, -6, 2, 2, -4, 1
0.63, -31, 9, -29, 14, -38, 15
0.66, -46, 19, -43, 20, -54, 24
0.69, -53, 24, -50, 23, -61, 28
0.72, -50, 24, -48, 21, -58, 26
0.75, -42, 21, -41, 18, -48, 23
0.78, -31, 15, -30, 13, -34, 17
0.81, -15, 7, -14, 5, -15, 8
0.84, -1, -1, 0, -3, 1, -2
0.87, -1, 0, -1, -2, 2, -1
0.9, -1, 1, -1, -2, 2, 0
0.93, -1, 2, 0, -1, 2, 0
0.96, -2, 2, 0, -2, 1, -1
0.99, -1, 2, -1, -2, 2, 0
1.02, -1, 2, 0, -1, 2, 0
1.05, -2, 2, 0, -2, 1, -1
1.08, -1, 2, -1, -1, 2, 0
1.11, -1, 2, 0, -2, 1, 0
1.14, -2, 1, 0, -1, 2, -1
1.17, -1, 2, 0, -2, 1, 0
1.2, -1, 2, -1, -1, 2, 0
1.23, -8, -11, -7, -14, -5, -12
1.26, -11, -21, -11, -23, -9, -20
1.29, -12, -30, -13, -30, -11, -26
1.32, -9, -35, -11, -33, -10, -30
1.35, -1, -41, -4, -34, -4, -33
1.38, 19, -43, 13, -32, 14, -33
1.41, 42, -39, 32, -24, 36, -29
1.44, 81, -29, 66, -10, 75, -17
1.47, 114, -9, 93, 14, 107, 2
