0.5,0,0,0,0,0,0,0
1,0.373134,0.0372087,-0.643554,-0.00668772,0.0320528,-0.0358663,-0.420321
1.5,1.3857,0.0251889,-1.54115,-0.314417,0.257937,0.38885,-1.1367
2,0.33652,-0.215549,-0.599603,0.232756,0.0327277,-0.356884,-0.42513
2.5,0.668133,0.0615621,-0.872242,-0.430868,0.0680568,0.391797,-0.569219
3,0.808582,-0.215007,-0.981973,-0.00426007,0.108991,-0.123984,-0.721747
3.5,0.452494,-0.0570823,-0.652085,-0.355614,0.00392241,0.289216,-0.410523
4,0.641576,-0.0641654,-0.791124,-0.354939,0.0330304,0.200422,-0.50367
4.5,0.609585,-0.0420868,-0.753138,-0.517679,0.0137768,0.388378,-0.441438
5,0.250131,-0.0689518,-0.433246,-0.122122,-0.026941,-0.112502,-0.236405
5.5,0.788518,-0.566386,-0.431891,-0.0266882,-0.327354,0.141346,-1.15489
6,-0.217669,0.33579,0.265553,-0.148138,-0.33604,0.115965,-0.239038
6.5,-0.314087,-0.0707677,0.370012,0.532525,-0.411232,-0.545302,-0.450685
7,0.376952,-0.138304,-0.151965,-0.250788,-0.35225,0.402044,-0.760263
7.5,1.2217,-0.67227,-0.674159,-0.314069,-0.322973,0.434819,-1.43945
8,-1.54812,0.549536,1.04633,1.29509,-0.429379,-1.42459,0.409149
8.5,0.363027,-0.402585,-0.129377,-0.0112807,-0.410519,0.117117,-0.866939
9,-0.0272263,-0.0602577,0.106139,0.177072,-0.385579,-0.124527,-0.514103
9.5,0.359128,-0.250041,-0.134677,-0.042744,-0.392478,0.175374,-0.79526
10,0.323578,-0.295355,-0.106953,0.0401608,-0.421521,0.0763265,-0.835778
10.5,-0.444809,0.481736,0.63761,-0.215162,0.134057,0.412154,0.458393
11,-0.111563,0.66694,0.589322,-1.04468,0.232742,1.31387,0.386524
11.5,-0.945116,-0.163068,0.781491,1.48208,-0.221705,-1.77158,0.723739
12,-0.422679,0.582654,0.705838,-0.624567,0.118602,0.626825,0.543329
12.5,-0.517819,0.236246,0.703395,0.0388841,-0.0496167,-0.156446,0.540651
13,-0.688099,0.305246,0.871711,-0.0463678,-0.0833074,-0.080664,0.7148
13.5,-0.256388,0.336252,0.646623,-0.662757,0.0158854,0.67829,0.363099
14,-0.720593,0.19384,0.899663,0.109603,-0.272853,-0.33829,0.777375
14.5,-0.627555,0.270328,0.916349,-0.373012,-0.213925,0.257837,0.692736
15,-0.32475,0.385072,0.726283,-0.755624,-0.126165,0.65957,0.395609
15.5,-0.194518,-0.1118,0.151998,0.329072,-0.159882,-0.412555,0.222503
16,-1.5708,1.64061,3.14159,-2.49582,-1.42481,2.0944,2.54768
16.5,1.5708,-1.64061,-3.14159,2.49582,2.89516,-2.0944,-3.29898
17,-0.38602,0.312064,0.103567,-1.03119,-0.400303,1.11736,-0.237878
17.5,-0.12781,-0.195702,0.0504404,0.643289,-0.110794,-0.783599,0.224719
18,-0.0764933,-0.0852428,0.0200472,0.24455,-0.0580147,-0.308001,0.0902331
18.5,-0.096048,0.0501244,0.108851,-0.088173,-0.0486339,0.0968609,0.0841134
19,-0.146818,-0.0168492,0.134619,0.0572183,-0.0808561,-0.0547704,0.15223
19.5,0.277241,0.10571,-0.211938,-0.320815,0.156015,0.375234,-0.316338
20,0.0393605,-0.0784764,-0.083088,0.212028,0.0188353,-0.266293,-0.014149
20.5,0.271019,-0.143383,-0.473324,0.342064,-0.205134,-0.296953,-0.856867
21,0.966456,-0.258458,-1.19044,0.444149,0.0919594,-0.457989,-1.55891
21.5,0.781297,-0.0737173,-0.861911,-0.18489,-0.0882643,0.263052,-1.38586
22,1.06919,-0.262204,-1.13369,-0.0489858,0.0409311,0.112591,-1.63091
22.5,0.617459,-0.386146,-0.763504,0.330548,-0.235289,-0.396393,-1.23559
23,0.988625,-0.152705,-0.876,-0.607215,-0.146812,0.713548,-1.47002
23.5,0.693156,-0.471422,-0.738188,0.182009,-0.282749,-0.30122,-1.28416
24,0.77063,-0.447899,-0.694033,-0.127565,-0.324271,0.0389659,-1.32632
24.5,1.02653,-0.482168,-0.666918,-0.662247,-0.277227,0.674667,-1.53984
